exporter,consignee,pre_carriage_by,place_of_receipt,vessel_flight_no,port_of_loading,lc_no,port_of_discharge,final_destination,bl_awb_no,marks_nosandcontainer_no,num_and_kind_of_pkgs,description_of_goods,quantity,destination,consignor,invoice_number,manufacturer,nationality,total_quantity,date,exporter_signature,certification_place
"Kane, Wu and Watson",Christina Cook,gun,East Rodneychester,VES137,Christinaview,LC36749,New Davidport,North Ashleytown,AWB0568983,PKG608/CONT6376,research,Organized demand-driven methodology,40,South Philipberg,Michelle Gibson,INV15006,Logan LLC,Sweden,798,1988-05-25,Heather Harmon,Cherylside
Bowers PLC,Francisco Gibbs,participant,Perryport,VES147,West Cindyfort,LC89856,Dillonbury,Smithchester,AWB3126856,PKG873/CONT1924,already,Business-focused tertiary hub,45,South Jodybury,Tyler Perez,INV69217,Page-Hernandez,Haiti,761,2001-06-03,Samantha Vargas,Port Dawn
Taylor-Mckinney,Michael Dean,owner,Lake Vernonhaven,VES074,East Melissaberg,LC93464,Danaburgh,Port Justin,AWB3891908,PKG562/CONT6673,shoulder,Horizontal heuristic throughput,34,Lake Calvinhaven,Madison Ward,INV26802,King-Lewis,Solomon Islands,144,2007-12-27,Heather Arnold,New Bobby
Thomas and Sons,Bryan Gutierrez,laugh,Josephtown,VES031,Scottville,LC45701,New Jasonton,Nicholsberg,AWB2168284,PKG915/CONT0602,look,Secured system-worthy standardization,47,Manuelstad,David Duffy,INV44024,Bennett Inc,Albania,711,1987-04-16,Mario Young,North Ashley
Peters-Vega,Tina Cole,report,East Jamiefurt,VES340,New Joanna,LC51629,Rebeccaside,Ryanview,AWB1377051,PKG909/CONT7423,between,Operative transitional hardware,43,Barbaraborough,Tyler Taylor,INV54454,Knight Ltd,Burundi,194,2007-05-16,Jacob Hayes,Bondfort
Anderson Inc,Alison Mitchell,action,New Julia,VES410,Martinezfurt,LC72821,North John,Bestton,AWB1827315,PKG156/CONT7365,far,Organized multimedia groupware,90,North Chadfurt,Roy Juarez,INV98021,"Hunt, Jones and Castro",Uganda,248,1989-05-18,Donald Larson,Port Debraport
Cooper LLC,Elizabeth Contreras,student,New Lisaberg,VES389,Port Tiffany,LC21685,Colliershire,Port Toddberg,AWB2629580,PKG707/CONT3125,box,Compatible contextually-based website,94,Katrinaton,Kathy Rowe,INV19985,"Robinson, Nelson and Luna",South Georgia and the South Sandwich Islands,317,2003-09-23,Rachel Duarte,Michaelbury
"Henry, Henderson and Silva",Sarah Oneal,his,East Eric,VES517,Dixonborough,LC87953,Robertoville,Rebeccamouth,AWB8783277,PKG100/CONT1455,raise,Extended foreground adapter,30,South Williambury,Renee Neal,INV23270,Lopez-Armstrong,Pakistan,907,1970-02-07,Andrew Wilson,Dariusberg
Williams Ltd,Thomas Gibson,community,East Jonathan,VES416,East Robynchester,LC11436,East Tamaraburgh,West Brooke,AWB0667646,PKG848/CONT8884,local,Up-sized mobile Local Area Network,26,West Gerald,Christopher Hughes,INV74476,Harris Inc,Turkey,545,2016-01-26,Paul Myers,Samanthaborough
Anderson-Jones,Brian Lopez,appear,Perryborough,VES213,North Barbarachester,LC50185,South Thomas,Lake Alvin,AWB3664920,PKG755/CONT5427,understand,Seamless even-keeled circuit,10,North Sean,Nicholas Russell,INV00897,"Bird, Schwartz and Irwin",Norway,853,1993-07-16,David Vargas,West Kylestad
Adams-Hill,Laura Carey,nature,Taylorchester,VES434,Colemanshire,LC29123,Johnsonmouth,New Dillon,AWB1966602,PKG588/CONT7451,return,Multi-lateral web-enabled functionalities,88,Gambleberg,Mark Douglas,INV19230,Weber-Lam,Jordan,565,1986-05-30,Briana Andrews,East Diane
Davies-Bass,Anthony Reyes,wife,Larryport,VES229,South Crystalfurt,LC30383,Hatfieldside,Victoriashire,AWB7744522,PKG752/CONT5176,girl,Intuitive explicit solution,23,Cristinamouth,Pamela Walls,INV64108,"Johnson, Cabrera and Weber",Vanuatu,619,2016-03-11,Erica Mann,Port Dustinville
"Martin, Ewing and Park",Phillip Jensen Jr.,what,Alecbury,VES941,Hollytown,LC20836,Stephaniefurt,Lake Larryburgh,AWB8610672,PKG422/CONT2596,rather,Triple-buffered intermediate structure,42,Lake Lindafort,Bill Thomas,INV30124,Gross Inc,Qatar,789,1971-12-26,Stacy Hicks,Andrewhaven
"Johnson, Cummings and Huynh",Andrew Shaw,four,New Sarah,VES209,Port Mary,LC68317,Gomeztown,Brittanyfurt,AWB0076717,PKG648/CONT1041,candidate,Implemented needs-based attitude,19,West Darrell,William Barrera,INV96387,Hunt-Lin,Greenland,416,1993-06-28,Ryan Robinson,Spencerbury
Williams-Lozano,Jessica Armstrong,room,Port Jacqueline,VES729,South Katherine,LC80122,Port Cheryl,Gainesport,AWB6009124,PKG086/CONT3688,surface,Secured exuding knowledge user,65,West Briannaport,Gavin Thompson,INV93867,Boyd Ltd,Saint Vincent and the Grenadines,582,1980-06-27,Nicole Smith,Smithborough
Horn Ltd,Mark Harris,style,East Jorge,VES103,North Johnchester,LC95341,Hebertville,Stephanieton,AWB9767302,PKG845/CONT3331,statement,Secured neutral pricing structure,91,North Anna,Kathy Huerta,INV24684,Johnson-Howard,Greenland,497,1980-10-10,Steven Tucker,Port Michaelfort
"Oneal, Harris and Collins",Kelly Johnson,next,Sandovalport,VES863,Port Tylerton,LC25475,Branchborough,Garciafort,AWB5818711,PKG502/CONT2507,player,Enhanced tertiary open architecture,17,Anthonyville,Crystal Howard DVM,INV42016,Moore PLC,Lebanon,170,1979-04-23,Bryan Gaines,Bryanview
"Dalton, Lucas and Bowman",Taylor Jones,particularly,West Robertmouth,VES282,Andrewmouth,LC55316,Simonmouth,Curryville,AWB1935690,PKG463/CONT3210,listen,Implemented multi-state success,80,Jonesfurt,Nicholas Robertson,INV66397,"Jones, Hammond and Ferrell",Kuwait,192,1994-08-30,Priscilla Roth,Lake Thomaschester
Sanders and Sons,Marvin Hanson,dinner,North Ebony,VES848,East Whitneystad,LC85913,New Willie,North Hannahtown,AWB1811106,PKG362/CONT3936,much,Face-to-face tertiary policy,33,South Garyhaven,Michael Clark DVM,INV96828,Diaz Inc,Norfolk Island,414,2021-05-14,Nicholas Reyes,Kellerville
"Jackson, Collins and Rodriguez",Matthew Williamson,the,Franklinburgh,VES906,Kevinfurt,LC55845,Edwardhaven,Lake Kathryn,AWB2742160,PKG799/CONT9850,center,Organic dedicated archive,11,East Stacyhaven,Robert Johnson,INV20649,"Chase, Hebert and Maxwell",Indonesia,448,1971-08-14,Alexandria Forbes,Reeseview
Taylor PLC,Jasmine Floyd,free,Anaberg,VES277,Richardfort,LC86094,Lake Jane,Micheleside,AWB1875818,PKG734/CONT6945,garden,Synergistic responsive benchmark,16,Port Carl,Rachel Johns,INV21988,"Lane, Moore and Taylor",Palau,124,2021-07-24,Gina Glenn,New Kelli
"Garcia, Harris and Cooper",Peter Lawrence,pretty,Lake Rebeccamouth,VES331,West Nathan,LC53439,Tanyaview,East Wendystad,AWB7718205,PKG112/CONT8644,director,Automated bottom-line migration,75,Port Lindseyburgh,Brianna Hanna,INV78984,Bowers LLC,Guam,769,2021-08-08,Alison Dougherty PhD,Smithview
"Johnson, Welch and Bradford",Ricky Lowery,store,Kellymouth,VES264,Sharonview,LC14137,North Nicole,Nicholsburgh,AWB9512949,PKG454/CONT7657,police,Centralized hybrid emulation,63,Fernandezberg,Charles Hernandez,INV90075,Bennett and Sons,Namibia,971,1978-08-02,Melissa Nelson,Martineztown
"Jimenez, Holmes and Atkins",Robert Allen,writer,Joshuaburgh,VES219,Katherineborough,LC56747,South Stephen,Stevenport,AWB8434980,PKG661/CONT2493,former,Down-sized neutral process improvement,84,Darinhaven,Tom Miller,INV69354,"Robinson, Clarke and Rogers",Palau,629,1971-01-02,Michael Eaton,South Rebeccaton
"Davis, Dalton and Mcdonald",Tonya Miller,future,Lake Julieside,VES439,Santosside,LC63285,North Stephanieborough,New Kevinmouth,AWB2155238,PKG656/CONT0920,try,User-centric directional Internet solution,17,West Elizabethtown,Tracy Munoz,INV21759,Burns-Sanders,Slovenia,869,1970-10-22,Derek Smith,Lake Marcus
"Rush, Smith and Freeman",Wendy Mack,answer,North Christophershire,VES921,Jonesshire,LC54147,Lake Josephton,Lorihaven,AWB1362752,PKG326/CONT8861,notice,Switchable user-facing archive,52,New Jacquelinefort,David Sanchez,INV60065,Williams LLC,Brazil,665,1990-05-19,Andrea Koch,South Kathyburgh
Garcia-Ramos,Joan Hall,ball,Tomtown,VES114,Ernestbury,LC85095,Jacksonfurt,Susanshire,AWB1338023,PKG919/CONT3684,simple,Re-engineered non-volatile capacity,39,Hillfort,Victor Jackson,INV33426,Terrell-Coleman,Lebanon,617,1978-06-19,Andrea Morris,Jordanstad
"Gray, Chavez and Manning",Mark David,carry,Wrightland,VES193,Lake Tina,LC25684,West Chloeborough,North Jefferyhaven,AWB0208923,PKG082/CONT9595,data,Profit-focused executive adapter,18,Jamieshire,Amber Dean,INV86686,Mcdonald-Murphy,Palestinian Territory,318,2025-04-24,Daniel Hunter,Lozanomouth
